GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,POL3,"Polio, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10306662.0,9599051.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,5963369.0,3613469.0,61.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,PRHPV1_M,"HPV Vaccination program coverage, first dose, males",HPV,HPV Estimates,6319306.0,2576445.0,41.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,PRHPVC_F,"HPV Vaccination program coverage, last dose, females",HPV,HPV Estimates,5963369.0,2761690.0,46.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,PRHPVC_M,"HPV Vaccination program coverage, last dose, males",HPV,HPV Estimates,6319306.0,1582811.0,25.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,RCV1,"Rubella-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10306662.0,9602043.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,ROTAC,"Rotavirus, last dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10306662.0,5197525.0,50.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,15HPV1_F,"HPV Vaccination coverage by age 15, first dose, females",HPV,HPV Estimates,5940736.0,3594564.0,61.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,15HPV1_M,"HPV Vaccination coverage by age 15, first dose, males",HPV,HPV Estimates,6295691.0,1989012.0,32.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,15HPVC_F,"HPV Vaccination coverage by age 15, last dose, females",HPV,HPV Estimates,5940736.0,3101429.0,52.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,15HPVC_M,"HPV Vaccination coverage by age 15, last dose, males",HPV,HPV Estimates,6295691.0,1612620.0,26.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,BCG,BCG,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2156908.0,1933703.0,90.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10619963.0,10358819.0,98.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,DTPCV3,"DTP-containing vaccine, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10619963.0,10029981.0,94.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10657108.0,3518862.0,33.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,HEPB3,"HepB, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10619963.0,9590677.0,90.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,HIB3,"Hib, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10619963.0,9909513.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10619963.0,9854938.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,11754697.0,10749506.0,91.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,PCV3,"Pneumococcal conjugate vaccine, final dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10619963.0,9493832.0,89.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,POL3,"Polio, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10619963.0,9966881.0,94.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2019.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,5940736.0,3454163.0,58.0
