GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,DENOMINATOR,INCIDENCE_RATE
WHO_REGIONS,AFR,African Region,2003.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.6
WHO_REGIONS,AFR,African Region,2003.0,MEASLES,Measles,"per 1,000,000 total population",557.9
WHO_REGIONS,AFR,African Region,2003.0,MUMPS,Mumps,"per 1,000,000 total population",175.1
WHO_REGIONS,AFR,African Region,2003.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2003.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",39.8
WHO_REGIONS,AFR,African Region,2003.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.4
WHO_REGIONS,AFR,African Region,2003.0,RUBELLA,Rubella,"per 1,000,000 total population",16.0
WHO_REGIONS,AFR,African Region,2003.0,TTETANUS,Total tetanus,"per 1,000,000 total population",6.6
WHO_REGIONS,AFR,African Region,2003.0,YFEVER,Yellow fever,"per 1,000,000 total population",1.1
WHO_REGIONS,AFR,African Region,2002.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2002.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",2.0
WHO_REGIONS,AFR,African Region,2002.0,MEASLES,Measles,"per 1,000,000 total population",409.7
WHO_REGIONS,AFR,African Region,2002.0,MUMPS,Mumps,"per 1,000,000 total population",130.3
WHO_REGIONS,AFR,African Region,2002.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.2
WHO_REGIONS,AFR,African Region,2002.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",37.9
WHO_REGIONS,AFR,African Region,2002.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.7
WHO_REGIONS,AFR,African Region,2002.0,RUBELLA,Rubella,"per 1,000,000 total population",11.4
WHO_REGIONS,AFR,African Region,2002.0,TTETANUS,Total tetanus,"per 1,000,000 total population",23.2
WHO_REGIONS,AFR,African Region,2002.0,YFEVER,Yellow fever,"per 1,000,000 total population",1.3
WHO_REGIONS,AFR,African Region,2001.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2001.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",6.2
WHO_REGIONS,AFR,African Region,2001.0,MEASLES,Measles,"per 1,000,000 total population",723.8
WHO_REGIONS,AFR,African Region,2001.0,MUMPS,Mumps,"per 1,000,000 total population",356.2
WHO_REGIONS,AFR,African Region,2001.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.2
WHO_REGIONS,AFR,African Region,2001.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",93.9
WHO_REGIONS,AFR,African Region,2001.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.2
WHO_REGIONS,AFR,African Region,2001.0,RUBELLA,Rubella,"per 1,000,000 total population",21.1
WHO_REGIONS,AFR,African Region,2001.0,TTETANUS,Total tetanus,"per 1,000,000 total population",15.0
WHO_REGIONS,AFR,African Region,2001.0,YFEVER,Yellow fever,"per 1,000,000 total population",1.0
