GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,CASES
WHO_REGIONS,AFR,African Region,2007.0,MUMPS,Mumps,9097.0
WHO_REGIONS,AFR,African Region,2007.0,NTETANUS,Neonatal tetanus,1346.0
WHO_REGIONS,AFR,African Region,2007.0,PERTUSSIS,Pertussis,21197.0
WHO_REGIONS,AFR,African Region,2007.0,POLIO,Poliomyelitis,438.0
WHO_REGIONS,AFR,African Region,2007.0,RUBELLA,Rubella,3993.0
WHO_REGIONS,AFR,African Region,2007.0,TTETANUS,Total tetanus,5157.0
WHO_REGIONS,AFR,African Region,2007.0,YFEVER,Yellow fever,212.0
WHO_REGIONS,AFR,African Region,2006.0,CRS,Congenital rubella syndrome,8.0
WHO_REGIONS,AFR,African Region,2006.0,DIPHTHERIA,Diphtheria,351.0
WHO_REGIONS,AFR,African Region,2006.0,JAPENC,Japanese encephalitis,7.0
WHO_REGIONS,AFR,African Region,2006.0,MEASLES,Measles,99420.0
WHO_REGIONS,AFR,African Region,2006.0,MUMPS,Mumps,9303.0
WHO_REGIONS,AFR,African Region,2006.0,NTETANUS,Neonatal tetanus,3468.0
WHO_REGIONS,AFR,African Region,2006.0,PERTUSSIS,Pertussis,18399.0
WHO_REGIONS,AFR,African Region,2006.0,POLIO,Poliomyelitis,1213.0
WHO_REGIONS,AFR,African Region,2006.0,RUBELLA,Rubella,2457.0
WHO_REGIONS,AFR,African Region,2006.0,TTETANUS,Total tetanus,5825.0
WHO_REGIONS,AFR,African Region,2006.0,YFEVER,Yellow fever,272.0
WHO_REGIONS,AFR,African Region,2005.0,CRS,Congenital rubella syndrome,3.0
WHO_REGIONS,AFR,African Region,2005.0,DIPHTHERIA,Diphtheria,54.0
WHO_REGIONS,AFR,African Region,2005.0,MEASLES,Measles,316219.0
WHO_REGIONS,AFR,African Region,2005.0,MUMPS,Mumps,18215.0
WHO_REGIONS,AFR,African Region,2005.0,NTETANUS,Neonatal tetanus,4415.0
WHO_REGIONS,AFR,African Region,2005.0,PERTUSSIS,Pertussis,22139.0
WHO_REGIONS,AFR,African Region,2005.0,POLIO,Poliomyelitis,885.0
WHO_REGIONS,AFR,African Region,2005.0,RUBELLA,Rubella,2868.0
WHO_REGIONS,AFR,African Region,2005.0,TTETANUS,Total tetanus,2861.0
WHO_REGIONS,AFR,African Region,2005.0,YFEVER,Yellow fever,474.0
WHO_REGIONS,AFR,African Region,2004.0,CRS,Congenital rubella syndrome,4.0
WHO_REGIONS,AFR,African Region,2004.0,DIPHTHERIA,Diphtheria,23.0
WHO_REGIONS,AFR,African Region,2004.0,MEASLES,Measles,220180.0
WHO_REGIONS,AFR,African Region,2004.0,MUMPS,Mumps,19266.0
WHO_REGIONS,AFR,African Region,2004.0,NTETANUS,Neonatal tetanus,2693.0
WHO_REGIONS,AFR,African Region,2004.0,PERTUSSIS,Pertussis,26335.0
WHO_REGIONS,AFR,African Region,2004.0,POLIO,Poliomyelitis,934.0
WHO_REGIONS,AFR,African Region,2004.0,RUBELLA,Rubella,4452.0
WHO_REGIONS,AFR,African Region,2004.0,TTETANUS,Total tetanus,2417.0
WHO_REGIONS,AFR,African Region,2004.0,YFEVER,Yellow fever,1253.0
WHO_REGIONS,AFR,African Region,2003.0,CRS,Congenital rubella syndrome,9.0
WHO_REGIONS,AFR,African Region,2003.0,DIPHTHERIA,Diphtheria,216.0
WHO_REGIONS,AFR,African Region,2003.0,MEASLES,Measles,403016.0
WHO_REGIONS,AFR,African Region,2003.0,MUMPS,Mumps,11550.0
WHO_REGIONS,AFR,African Region,2003.0,NTETANUS,Neonatal tetanus,2364.0
WHO_REGIONS,AFR,African Region,2003.0,PERTUSSIS,Pertussis,16418.0
WHO_REGIONS,AFR,African Region,2003.0,POLIO,Poliomyelitis,446.0
WHO_REGIONS,AFR,African Region,2003.0,RUBELLA,Rubella,4835.0
WHO_REGIONS,AFR,African Region,2003.0,TTETANUS,Total tetanus,2017.0
WHO_REGIONS,AFR,African Region,2003.0,YFEVER,Yellow fever,498.0
WHO_REGIONS,AFR,African Region,2002.0,CRS,Congenital rubella syndrome,0.0
WHO_REGIONS,AFR,African Region,2002.0,DIPHTHERIA,Diphtheria,941.0
WHO_REGIONS,AFR,African Region,2002.0,MEASLES,Measles,288340.0
WHO_REGIONS,AFR,African Region,2002.0,MUMPS,Mumps,18023.0
WHO_REGIONS,AFR,African Region,2002.0,NTETANUS,Neonatal tetanus,4693.0
WHO_REGIONS,AFR,African Region,2002.0,PERTUSSIS,Pertussis,19452.0
WHO_REGIONS,AFR,African Region,2002.0,POLIO,Poliomyelitis,212.0
WHO_REGIONS,AFR,African Region,2002.0,RUBELLA,Rubella,2265.0
WHO_REGIONS,AFR,African Region,2002.0,TTETANUS,Total tetanus,10872.0
WHO_REGIONS,AFR,African Region,2002.0,YFEVER,Yellow fever,610.0
WHO_REGIONS,AFR,African Region,2001.0,CRS,Congenital rubella syndrome,0.0
WHO_REGIONS,AFR,African Region,2001.0,DIPHTHERIA,Diphtheria,2587.0
WHO_REGIONS,AFR,African Region,2001.0,MEASLES,Measles,491989.0
WHO_REGIONS,AFR,African Region,2001.0,MUMPS,Mumps,15731.0
WHO_REGIONS,AFR,African Region,2001.0,NTETANUS,Neonatal tetanus,5160.0
WHO_REGIONS,AFR,African Region,2001.0,PERTUSSIS,Pertussis,50386.0
WHO_REGIONS,AFR,African Region,2001.0,POLIO,Poliomyelitis,70.0
WHO_REGIONS,AFR,African Region,2001.0,RUBELLA,Rubella,1572.0
WHO_REGIONS,AFR,African Region,2001.0,TTETANUS,Total tetanus,6482.0
WHO_REGIONS,AFR,African Region,2001.0,YFEVER,Yellow fever,572.0
WHO_REGIONS,AFR,African Region,2000.0,CRS,Congenital rubella syndrome,0.0
WHO_REGIONS,AFR,African Region,2000.0,DIPHTHERIA,Diphtheria,4038.0
WHO_REGIONS,AFR,African Region,2000.0,MEASLES,Measles,520102.0
WHO_REGIONS,AFR,African Region,2000.0,MUMPS,Mumps,38713.0
WHO_REGIONS,AFR,African Region,2000.0,NTETANUS,Neonatal tetanus,5175.0
WHO_REGIONS,AFR,African Region,2000.0,PERTUSSIS,Pertussis,52008.0
WHO_REGIONS,AFR,African Region,2000.0,POLIO,Poliomyelitis,1863.0
WHO_REGIONS,AFR,African Region,2000.0,RUBELLA,Rubella,865.0
WHO_REGIONS,AFR,African Region,2000.0,TTETANUS,Total tetanus,5835.0
WHO_REGIONS,AFR,African Region,2000.0,YFEVER,Yellow fever,593.0
WHO_REGIONS,AFR,African Region,1999.0,CRS,Congenital rubella syndrome,0.0
WHO_REGIONS,AFR,African Region,1999.0,DIPHTHERIA,Diphtheria,226.0
WHO_REGIONS,AFR,African Region,1999.0,MEASLES,Measles,486660.0
WHO_REGIONS,AFR,African Region,1999.0,MUMPS,Mumps,13327.0
WHO_REGIONS,AFR,African Region,1999.0,NTETANUS,Neonatal tetanus,2696.0
WHO_REGIONS,AFR,African Region,1999.0,PERTUSSIS,Pertussis,11066.0
WHO_REGIONS,AFR,African Region,1999.0,POLIO,Poliomyelitis,2861.0
WHO_REGIONS,AFR,African Region,1999.0,RUBELLA,Rubella,51.0
WHO_REGIONS,AFR,African Region,1999.0,TTETANUS,Total tetanus,2463.0
WHO_REGIONS,AFR,African Region,1999.0,YFEVER,Yellow fever,8.0
WHO_REGIONS,AFR,African Region,1998.0,DIPHTHERIA,Diphtheria,931.0
WHO_REGIONS,AFR,African Region,1998.0,MEASLES,Measles,373149.0
